category,severity,message,path,start_line,start_column,end_line,end_column
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Contacts/{ContactID}/Attachments/{FileName}'].post.tags[0],4490,11,4490,21
descriptions,info,operation method `PUT` at path `/Contacts/{ContactID}/Attachments/{FileName}` is missing a `description`,$.paths['/Contacts/{ContactID}/Attachments/{FileName}'].put,4526,5,4526,8
descriptions,info,operation method `PUT` at path `/Contacts/{ContactID}/Attachments/{FileName}` is missing a `summary`,$.paths['/Contacts/{ContactID}/Attachments/{FileName}'].put,4526,5,4526,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Contacts/{ContactID}/Attachments/{FileName}'].put.tags[0],4531,11,4531,21
descriptions,info,operation method `GET` at path `/Contacts/{ContactID}/CISSettings` is missing a `description`,$.paths['/Contacts/{ContactID}/CISSettings'].get,4570,5,4570,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Contacts/{ContactID}/CISSettings'].get.tags[0],4576,11,4576,21
operations,info,operation must define at least one 4xx error response,$.paths['/Contacts/{ContactID}/CISSettings'].get.responses,4581,7,4581,16
descriptions,info,operation method `GET` at path `/Contacts/{ContactID}/History` is missing a `description`,$.paths['/Contacts/{ContactID}/History'].get,4596,5,4596,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Contacts/{ContactID}/History'].get.tags[0],4602,11,4602,21
operations,info,operation must define at least one 4xx error response,$.paths['/Contacts/{ContactID}/History'].get.responses,4607,7,4607,16
descriptions,info,operation method `PUT` at path `/Contacts/{ContactID}/History` is missing a `description`,$.paths['/Contacts/{ContactID}/History'].put,4610,5,4610,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Contacts/{ContactID}/History'].put.tags[0],4615,11,4615,21
descriptions,info,operation method `GET` at path `/ContactGroups` is missing a `description`,$.paths['/ContactGroups'].get,4659,5,4659,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/ContactGroups'].get.tags[0],4665,11,4665,21
operations,info,operation must define at least one 4xx error response,$.paths['/ContactGroups'].get.responses,4685,7,4685,16
descriptions,info,operation method `PUT` at path `/ContactGroups` is missing a `description`,$.paths['/ContactGroups'].put,4708,5,4708,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/ContactGroups'].put.tags[0],4713,11,4713,21
descriptions,info,operation method `GET` at path `/ContactGroups/{ContactGroupID}` is missing a `description`,$.paths['/ContactGroups/{ContactGroupID}'].get,4794,5,4794,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/ContactGroups/{ContactGroupID}'].get.tags[0],4800,11,4800,21
operations,info,operation must define at least one 4xx error response,$.paths['/ContactGroups/{ContactGroupID}'].get.responses,4805,7,4805,16
descriptions,info,operation method `POST` at path `/ContactGroups/{ContactGroupID}` is missing a `description`,$.paths['/ContactGroups/{ContactGroupID}'].post,4837,5,4837,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/ContactGroups/{ContactGroupID}'].post.tags[0],4842,11,4842,21
descriptions,info,operation method `PUT` at path `/ContactGroups/{ContactGroupID}/Contacts` is missing a `description`,$.paths['/ContactGroups/{ContactGroupID}/Contacts'].put,4909,5,4909,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/ContactGroups/{ContactGroupID}/Contacts'].put.tags[0],4914,11,4914,21
